schema,enum_name,enum_value,enumsortorder
auth,aal_level,aal1,1
auth,aal_level,aal2,2
auth,aal_level,aal3,3
auth,code_challenge_method,s256,1
auth,code_challenge_method,plain,2
auth,factor_status,unverified,1
auth,factor_status,verified,2
auth,factor_type,totp,1
auth,factor_type,webauthn,2
auth,factor_type,phone,3
auth,oauth_authorization_status,pending,1
auth,oauth_authorization_status,approved,2
auth,oauth_authorization_status,denied,3
auth,oauth_authorization_status,expired,4
auth,oauth_client_type,public,1
auth,oauth_client_type,confidential,2
auth,oauth_registration_type,dynamic,1
auth,oauth_registration_type,manual,2
auth,oauth_response_type,code,1
auth,one_time_token_type,confirmation_token,1
auth,one_time_token_type,reauthentication_token,2
auth,one_time_token_type,recovery_token,3
auth,one_time_token_type,email_change_token_new,4
auth,one_time_token_type,email_change_token_current,5
auth,one_time_token_type,phone_change_token,6
net,request_status,PENDING,1
net,request_status,SUCCESS,2
net,request_status,ERROR,3
public,rating_key,moving,1
public,rating_key,funny,2
public,rating_key,inspiring,3
public,rating_key,touching,4
public,rating_key,authentic,5
public,rating_key,gripping,6
public,rating_key,creative,7
public,rating_key,interesting,8
public,rating_key,smart,9
public,tag_type,emotion,1
public,tag_type,theme,2
public,tag_type,genre,3
public,tag_type,topic,4
realtime,action,INSERT,1
realtime,action,UPDATE,2
realtime,action,DELETE,3
realtime,action,TRUNCATE,4
realtime,action,ERROR,5
realtime,equality_op,eq,1
realtime,equality_op,neq,2
realtime,equality_op,lt,3
realtime,equality_op,lte,4
realtime,equality_op,gt,5
realtime,equality_op,gte,6
realtime,equality_op,in,7
storage,buckettype,STANDARD,1
storage,buckettype,ANALYTICS,2
storage,buckettype,VECTOR,3