schema,table_name,trigger_name,trigger_def
auth,users,on_auth_user_created,CREATE TRIGGER on_auth_user_created AFTER INSERT ON auth.users FOR EACH ROW EXECUTE FUNCTION handle_new_user()
cron,job,cron_job_cache_invalidate,CREATE TRIGGER cron_job_cache_invalidate AFTER INSERT OR DELETE OR UPDATE OR TRUNCATE ON cron.job FOR EACH STATEMENT EXECUTE FUNCTION cron.job_cache_invalidate()
public,comment_likes,trg_cleanup_on_comment_unlike,CREATE TRIGGER trg_cleanup_on_comment_unlike AFTER DELETE ON comment_likes FOR EACH ROW EXECUTE FUNCTION cleanup_notification_on_comment_unlike()
public,comment_likes,trg_notify_on_comment_like,CREATE TRIGGER trg_notify_on_comment_like AFTER INSERT ON comment_likes FOR EACH ROW EXECUTE FUNCTION notify_on_comment_like()
public,comments,comments_set_updated_at,CREATE TRIGGER comments_set_updated_at BEFORE UPDATE ON comments FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,comments,trg_cleanup_notifications_on_comment_delete,CREATE TRIGGER trg_cleanup_notifications_on_comment_delete AFTER DELETE ON comments FOR EACH ROW EXECUTE FUNCTION cleanup_notifications_on_comment_delete()
public,comments,trg_notify_comment_delete,CREATE TRIGGER trg_notify_comment_delete AFTER DELETE ON comments FOR EACH ROW EXECUTE FUNCTION notify_comment_delete()
public,comments,trg_notify_comment_insert,CREATE TRIGGER trg_notify_comment_insert AFTER INSERT ON comments FOR EACH ROW WHEN (new.parent_comment_id IS NULL) EXECUTE FUNCTION notify_comment_insert()
public,comments,trg_notify_on_comment_reply,CREATE TRIGGER trg_notify_on_comment_reply AFTER INSERT ON comments FOR EACH ROW EXECUTE FUNCTION notify_on_comment_reply()
public,community_notes,trg_community_notes_set_updated_at,CREATE TRIGGER trg_community_notes_set_updated_at BEFORE UPDATE ON community_notes FOR EACH ROW EXECUTE FUNCTION _set_updated_at()
public,contact_messages,contact_messages,"CREATE TRIGGER contact_messages AFTER INSERT ON contact_messages FOR EACH ROW EXECUTE FUNCTION supabase_functions.http_request('https://dowhdgcvxgzaikmpnchv.supabase.co/functions/v1/telegram-notify', 'POST', '{""x-webhook-secret"":""pendemic-super-secret-123""}', '{}', '5000')"
public,messages,trg_set_message_sender,CREATE TRIGGER trg_set_message_sender BEFORE INSERT ON messages FOR EACH ROW EXECUTE FUNCTION set_message_sender()
public,post_reaction_votes,trg_max_3_reactions,CREATE TRIGGER trg_max_3_reactions BEFORE INSERT ON post_reaction_votes FOR EACH ROW EXECUTE FUNCTION enforce_max_3_reactions()
public,post_reaction_votes,trg_notify_reaction_delete,CREATE TRIGGER trg_notify_reaction_delete AFTER DELETE ON post_reaction_votes FOR EACH ROW EXECUTE FUNCTION notify_reaction_delete()
public,post_reaction_votes,trg_notify_reaction_insert,CREATE TRIGGER trg_notify_reaction_insert AFTER INSERT ON post_reaction_votes FOR EACH ROW EXECUTE FUNCTION notify_reaction_insert()
public,post_reaction_votes,trg_prevent_self_vote,CREATE TRIGGER trg_prevent_self_vote BEFORE INSERT ON post_reaction_votes FOR EACH ROW EXECUTE FUNCTION prevent_self_vote()
public,post_votes,trg_limit_three_ratings,CREATE TRIGGER trg_limit_three_ratings BEFORE INSERT ON post_votes FOR EACH ROW EXECUTE FUNCTION limit_three_ratings_per_post()
public,post_votes,trg_prevent_self_vote,CREATE TRIGGER trg_prevent_self_vote BEFORE INSERT ON post_votes FOR EACH ROW EXECUTE FUNCTION prevent_self_vote()
public,posts,trg_notify_followers_new_post_insert,CREATE TRIGGER trg_notify_followers_new_post_insert AFTER INSERT ON posts FOR EACH ROW EXECUTE FUNCTION notify_followers_new_post()
public,posts,trg_notify_followers_new_post_update,CREATE TRIGGER trg_notify_followers_new_post_update AFTER UPDATE OF status ON posts FOR EACH ROW WHEN (old.status IS DISTINCT FROM new.status) EXECUTE FUNCTION notify_followers_new_post()
public,user_follows,trg_notify_follow_delete,CREATE TRIGGER trg_notify_follow_delete AFTER DELETE ON user_follows FOR EACH ROW EXECUTE FUNCTION notify_follow_delete()
public,user_follows,trg_notify_follow_insert,CREATE TRIGGER trg_notify_follow_insert AFTER INSERT ON user_follows FOR EACH ROW EXECUTE FUNCTION notify_follow_insert()
public,user_reports,telegram-notify,"CREATE TRIGGER ""telegram-notify"" AFTER INSERT ON user_reports FOR EACH ROW EXECUTE FUNCTION supabase_functions.http_request('https://dowhdgcvxgzaikmpnchv.supabase.co/functions/v1/telegram-notify', 'POST', '{""x-webhook-secret"":""pendemic-super-secret-123""}', '{}', '5000')"
realtime,subscription,tr_check_filters,CREATE TRIGGER tr_check_filters BEFORE INSERT OR UPDATE ON realtime.subscription FOR EACH ROW EXECUTE FUNCTION realtime.subscription_check_filters()
storage,buckets,enforce_bucket_name_length_trigger,CREATE TRIGGER enforce_bucket_name_length_trigger BEFORE INSERT OR UPDATE OF name ON storage.buckets FOR EACH ROW EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage,buckets,protect_buckets_delete,CREATE TRIGGER protect_buckets_delete BEFORE DELETE ON storage.buckets FOR EACH STATEMENT EXECUTE FUNCTION storage.protect_delete()
storage,objects,protect_objects_delete,CREATE TRIGGER protect_objects_delete BEFORE DELETE ON storage.objects FOR EACH STATEMENT EXECUTE FUNCTION storage.protect_delete()
storage,objects,update_objects_updated_at,CREATE TRIGGER update_objects_updated_at BEFORE UPDATE ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.update_updated_at_column()